0:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=44, rearlength=0, rearheigth=15----(计算line)
1:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=7----(计算line)
2:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=9----(计算line)
3:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=11----(计算line)
4:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=13----(计算line)
5:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=15----(计算line)
6:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=7----(计算line)
7:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=9----(计算line)
8:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=11----(计算line)
9:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=13----(计算line)
10:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=15----(计算line)
11:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=32, rearlength=0, rearheigth=15----(计算Radius和line)
12:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=7----(计算Radius和line)
13:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=9----(计算Radius和line)
14:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=11----(计算Radius和line)
15:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=13----(计算Radius和line)
16:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=15----(计算Radius和line)
17:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=7----(计算Radius和line)
18:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=9----(计算Radius和line)
19:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=11----(计算Radius和line)
20:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=13----(计算Radius和line)
21:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=15----(计算Radius和line)
22:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=40, rearlength=0, rearheigth=15----(计算Radius和line)
23:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
24:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
25:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=11----(计算Radius和line)
26:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=13----(计算Radius和line)
27:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=15----(计算Radius和line)
28:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
29:  bodyHeight（r）=15,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
